drug,ndc
BuPROPion,00904612961
VALACYCLOVIR,00173093356
amphetami,00555078802
Concerta,50458058601
Ciprofloxacin,68084006901
LaMOTrigine (Lamictal Brand) *NF*,00173064255
PACLItaxel (TaxOL),55390011405
LevETIRAcetam Oral Solution,51991065116
sevelamer ,58468002001
Prograf Suspension,00469065711
Nadolol,00378002801
acyclovir 400 mg,0
Ritonavir (Oral Solution),00074194063
ZyrTEC,00904585261
Isosorbide Mo,68084059101
Diltiaz,00258368790
Pamidronate,00703407559
Isosorbide Dinitr,00143176901
Methadone (Concentrated Oral Solution) 10 mg/1 mL,00054355663
Procainamide SR,61570006901
procarbazine,54482005301
Zoledronic Acid,00078038725
Itraconazole,10147170007
Hydrocodone-Homatropine,63481023416
Estrogens Conjugated,00046087293
AcetaZOLamide,55390046001
Voriconazole,51079016403
Heparin ,00264958720
Heparin ,63323026201
Ketorola,63323016101
Linezolid,00009513601
CefTRIAXone Graded Challenge,00781320895
Diltia,62037069790
INV-Atorvastatin,54868422900
Phenytoin Sodium Extended,00071036940
DOXOrubicin,00703504001
Levothyroxine Sodium,00378180977
Chlorothiazide,67386071155
Nitroglycerin SL,59762492101
sucralfate,63739026110
Phenytoin ,54868277600
MethylPREDNISolone Sodium Succ,00009003928
Ampicillin Desensitization,63323038910
Haloperidol,25021080601
Epoetin Alfa,55513014410
OxyCODONE SR (OxyCONTIN),59011044020
Mycophen,00004026001
Tacrolimus Suspension,00469065711
Sulf,59762010401
sodium chloride,00378699789
QUEtiapine Fumarate,67877024238
MetFORMIN ,51079097220
Mitoxantrone,00703468501
Metoprolol Succinate XL,63739045410
Trifluoperazine HCl,51079057201
Feraheme,59338077510
Polyvinyl Alcohol,11980002515
Nicoti,00904062960
Magnesium Sulfate,63323006402
effexor,00008070101
GlipiZIDE,49999010830
Micro-Guard,11701003816
FoLIC Acid,62584089701
lidoca,00409471332
Aspirin,00574703412
Ceftazidime-Avibactam *NF*,00456270010
0.9% Sodium Chloride (EXCEL BAG),00264780020
Imipramine,49884005501
WelChol,65597070118
Temozolomide,00085138101
Rubella Virus Vaccine,00006467300
TraMADol,63739067110
valgan,00004003909
*NF* Benazepril,00078044805
Tacrolimus,68084044901
oxyMORphone,63481062410
Morphine Sul,68094000162
Fluticasone-Salmeterol (100/50),00173069502
Estradiol,00430002324
Verapam,51079089920
Ibuprofen,68094050361
bisoprolol-hydrochlorothiazide,00185077130
dextroamphetamine,64720013010
Guaifenesin,00121174410
BuPROP,00173017755
Dorzolamide 2%/Timolol 0.5% Ophth.,50383023310
Lidocaine-Prilocaine,00168035755
cholecalciferol (vitamin D3),00904582460
penicillin V potassium,67253020110
doxazosin,51079095720
Isosorbid,00228263111
Methylergonovine Maleate,00078005405
Valsartan,60687013901
hydrocort,00472032126
aggrenox,00597000160
voriconazole,51079016503
Levoth,00074706811
Tessalon,58177009111
DOXOrubicin,10019092001
Zarontin,61748002501
Venlafaxine,00008070401
LamoTRIgine,00093003901
Methylprednisolone Na Succ,00009075801
Albumin 5% ,68516521102
asenapine,00052011990
ALPRAZolam,00904585861
Amlodipine,59762153005
Isosorbide Dini,00781155613
Heparin Sodium,61553094102
Mesna,25021020110
Aminoc,00409434673
nabumetone,68462035901
*NF* Tacrolimus (Extended Release),68992304003
sevelamer CARBONATE,58468002001
Acet,00121065721
Vivitrol,65757030001
Mesalamine,00093688871
Sotalol,50419010510
Senna,57896045208
Fomepizole,67457021102
ketorolac,60505100301
MethylPREDNISolone Sodium Succ,00009079601
Metoprolol Tartrate,38779057808
Alteplase 1mg,50242004413
Lithium Carbo,00054002025
Amphotericin B,39822105505
diltiazem,00456261390
Hydrocortisone,0
Estradiol,52544047108
Forteo,00002897101
ampicillin sodium,55150011420
Ketoconazole Shampoo,45802046564
Multivitamin IV (Without Vit. K),00338040360
Vasopressin,61570042003
PARoxetine,51079077420
Guaif,00121177505
Cyclophosphamide,00054413025
Tiazac,00456261390
Metoprolo,00904777261
*NF* Omeprazole,51079000720
Tenecteplase,0
Ipratropium Bromide,00597008717
LR,00338011704
metoCLOPramide,00182178989
Lanthanum,54092025290
Piperacillin-Tazobactam Na,00206886201
Omeprazole,63739035810
Kaopectate (BISMUTH subsalicy),00904131309
Paroxetine,00029320613
Famotidine (PO),00172572860
Klor-Con M20,00245004101
Lidocaine 1%,00409427602
Suboxone,12496130602
Myfortic,00078038566
Creon 12,39822020501
cet,51079059720
Ketorolac TroMETHamine,00023218105
Isosorbid,68084059201
benztropine,00143972905
inde,00378616001
Fusidic Acid 300mg tab,0
Atropine Sulfate,00409491134
Fluconazole,68462010340
Maraviroc,49702022318
Desonide 0.05%,51672128001
Azathioprine,65649023141
lidocaine (PF),63323049289
Zaroxolyn,51079002420
HydrALAZINE,17478093415
Chlorpheniramine-Hydrocodone,63717087716
Penicillin G Potassium,00049052083
Amoxicillin-Clavulanic Acid,51079026720
Acyclovir,50383081016
Benz,58177009111
Aspirin Desens,00904404073
RisperiDONE,49884031191
Meperidine,00409120120
mupi,51672131200
Pamidronate,63323073410
CefazoLIN Desensitization,00781345196
Fludrocortisone,00115703301
guanFACINE,00031890163
Enoxapar,00075062160
albu,00944049101
gabapentin,68084007965
CefTRIAXone,60505075204
Aspirin Desensitization (AERD),66553000201
Gentamicin Sulfate Ophth. Ointment,17478028435
Divalproex Sodium ER,00074621511
NovoLOG Mix 70-30 FlexPen,00169368512
Aldesleukin,53905099101
Rasagiline,67877025930
Clindamycin 1% Solution,59762372802
solifenacin,51248015001
RifAMPin,00068059701
Rocuronium,10139023511
MethylPHENIDATE (Ritalin),00406112201
Phenylephrine 1% Nasal Spray,00024135202
Nasonex,00085128801
irbe,68180041109
Tamsulosin,51079029420
Adenosine Liver Flush,17478054202
Torsemide,00004026249
Isosorbide Dinitrate,58177022211
Verelan,58016050902
LeVETiracetam,31722053712
Ketorolac,10019002902
isradipine,00078022644
Cephalexin Desensitization,68180012401
Senna,00904652261
INV dalteparin,00069022301
etanercept,58406043504
*NF* Fenofibrate ,00074612390
*NF* Testosterone Enanthate,54396032840
codeine sulfate,00054024424
CELECOXIB,00025152534
fenofibrate,00074612390
Losartan Potassium,68084034701
Cep,49452521001
Potassium Chloride,00409665106
Carbamazepine Chewable Tabs,66689032350
PrimiDONE,00904056060
Phenazopyridine,51293081001
*NF* Eculizumab,25682000101
Cladribine,67457045010
Clopidopgrel 75mg ,63653117103
Ergotamine-Caffeine,00713016612
Clonidine TTS 3 Patch,00597003334
Acyclovir,00904579061
OxyCODONE (Immediate Release),68084018401
Vitamin E,10006070034
SUMAtriptan succinate,00781317414
Rapamune,00008104110
CycloPHOSPHAMIDE,00781324494
Adenosine,63323065102
Paliperidone ER,50458055110
Ketorolac 0.5% Ophth Soln,17478020910
Chloraseptic Throat Spray,00904630521
vitamin d3,11845011831
Diazepam,00172392560
NovoLOG Mix 70-30 FLEXPEN,00169368512
Amiodarone,51079090620
Cefpodoxime Proxetil,00781543820
INV-Eribulin mesylate ,0
acyclovir,00472008216
Zidovudine,64376012923
Hydroxychloroquine,00378037301
divalpro,51079076708
Adderal,00555097102
Torsemide,50111091501
Sodium Chloride,00338004904
Haloperidol Decanoate,00703702103
Aranesp (Polysorbate),55513002504
CefTAZidime,00409508216
Propranolol LA,00378616001
metaxalone,68084013521
Calcium Gluconate sliding scale (Critical Care-Ionized calcium),63323031119
Theophylline ,17236032410
ARIPiprazole,65162089703
RISperidone Oral Solution,50458059601
Progesterone in Oil,63323026110
Urea-C40,00884044904
Acetaminophen,00904682076
Albumin 5,00944049505
Lithium ,00054852625
Amphetami,00555078802
Isordil,54868229700
Paroxetine HCl,00029320713
Buprenorphine-Naloxone ,12496120803
Sulfameth/Trimethoprim Suspension,49999064990
PALIperidone ER,42292002720
metyrapone,76336045517
Morphine Sulfate (Concentrated Oral Soln),00054858516
Metronidazole Gel 0.75%-Vaginal,00245086070
Nicotine Patch,00536110788
Quinapril,00071052740
Methylergonovine Maleate,43386014028
tranexamic acid,67457019710
OxycoDONE (Immediate Release) ,00527142636
Lidocaine 2% P.F.,55150016072
QUEtiapine,00904627761
MethylPREDNISolone Sodium Succ,00009011319
Triamcinolone ,00075006037
Metoprolol Succinate XL,00904777261
Blephamide,11980002205
Invega,50458055401
Clobetasol Propionate 0.05% Soln,51672129302
Emtricitabine-Tenofovir alafen (Descovy),61958200201
OLANZapine,43598016530
Niacinamide,00904420260
Mitoxantrone,63323013210
TraMADOL (Ultram),57664037708
Fluconazole,00703102030
Budesonide,54569592800
Sterile Water,00409672903
Onda,00781523864
Cisatracurium Besylate,00781315295
Nephrocaps,68084006501
Multivitamin IV,66591018442
altepl,50242004413
Travoprost (Benzalkonium),00065026625
DACTINomycin,66993048983
MedroxyPROGESTERone Acetate,00009006406
Pramipexole,00597018461
PHENObarbi,00603150858
ritonavir,00074194063
Multivitami,00904504260
Betamethasone Dipro 0.05% Augmented Gel,00168026615
Ketamine,42023011510
OxyCODONE--Acetaminophen (5mg-325mg),00904643761
QUEtiapine Fumarate,00904664161
Heparin Flush (1000 units/mL),67457038599
Donnatol,66213042510
LaMIVudine,60505325006
Emtricitabine-Tenofovir (Truvada),61958060201
Hepatitis B Vaccine,58160082011
Paricalcitol Oral Syringe,00074165801
Azithromyc,59762314001
Bupivacaine,00409115902
Calcium Carbonate 1000mg tab,66553000401
Avandia,00029315818
Cilostazol,50268017715
benz,63739002910
Furosemide,00378021601
Neomycin-Polymyxin-Gramicidin,24208079062
EPINEPHrine,00409492134
Sodium Citrate,00802396216
Ciprofloxacin 0.3% Ophth Soln,69315030802
Protopic,00469520230
Tacrolimus Suspension,00469065773
Diltiazem HCl,00088177849
combivent,00597002402
loratadine,52959045230
CeftriaXONE,00338500241
Divalproe,51079076708
Carbamazepine,00083006130
montelukast,68084062001
Morphine Sulfate,00409189301
BuPROPion (Sustained Release),10370010103
Lisinopril,63739035010
Ambien,60505260400
benzon,50111085101
Celecoxib,00025152031
Lidocaine,00409427602
COQ10 200 mg,10939003722
Clindamycin,00781328909
Dofetilide,69452013317
Meropenem,00310032520
Dnatrolene,42023012401
Porfimer Sodium,58914015575
Docusat,00904224461
Fluphenazine,63323027205
Methylnal,65649055102
Milk Thistle,11845012995
hydrocorTISone Sod Succ (PF),00009001104
Divalproex Sodium ER,00074712611
AndroGel,54569533900
fenofibrate micronized,00074612390
Amantadine,50268006915
Paroxetine Mesylate,00904567661
PRALAtrexate,48818000102
Rocuronium,00703239403
Granisetron *NF*,25021078104
Epinephrine 1:1000,00409492134
Nitroprusside Sodium,42571026575
Abilify Discmelt,59148064023
atorvastatin ,54868422900
Furosemide,00517570425
Mupirocin ,45802011222
Aripip,21695000230
Simethicone,16837085839
Desipramine,00781197101
TiCAGRELOR,00186077739
Proctozone-HC,64980030130
Tetracaine 0.5% Ophth Soln,24208092064
Cortroysn ,0
Irinotecan,63323019355
methadone,67457021720
Abacavir Sulfate,68084002121
Dextran 40 10%,00338027203
atorvastatin 40 mg,68084058901
Meropenem,42023019110
Albumin 5%,68516521402
CefTRIAXone,00781320795
Aspirin Desensitization (AERD),66553000101
Nicotine Lozenge,00766150020
cloNIDine (PF),40042005210
Rifam,68084035801
Escital,00904642661
Carbidopa,63739004710
artificial,11980002515
eltrombopag,00007464213
ClonazePAM,51079088220
mitoXANTRONE,63323013210
OLANZapine,00781315972
pravastatin,51079045820
Terbinafine,00078017905
Metoclopramide,63739029310
levs,00091353701
Carbidopa-Levodopa (25-250),00091334301
Lactated Ringers,00338011704
Divalproex ,57237004701
Vancomycin-Heparin Lock,47781059891
Nitro-Dur,00378911693
Lidocaine Jelly 2%,76329301205
Bactrim Desensitization,55045122403
Ambien CR,0
rOPINIRole,00904637361
HydrALAzine,00517090125
AMOXicillin,00093310793
testosterone cyp\, micro (bulk),00051845030
Multivitamins W/minerals,00245009101
Pro,00378622001
Heparin Flush ,63323026201
Carb,00078051005
GlipiZIDE,59762503101
iprat,00597002402
Vitamin E,00904027060
Fluocinolone,00168006060
Carbamazepine,00083005232
ergocalc,64980015701
HydrALAzine,00182055589
Epogen,55513012610
beclomethasone dipropionate 40mcg,59310020412
Gaviscon,00088117547
MedroxyPROGESTERone Acetate,00009074630
Desmopressin Acetate,69918090110
Tropicamide 1 %,17478010212
Mesalamine 500MG CAP,54092018981
AMOXicillin Oral Susp.,49999016850
Do,00121054410
Hyoscyamine,76439030910
Belladonna-Phenobarbital,54569325100
Calcium Carbonate Suspension,00121476605
Tobramycin Inhalation Soln,53905006501
Dextran 40 10% in NS,00409741903
Dofetilide,00069580043
Doxazosin,51079095920
Donnatal,59212042510
Baclofen,00172409660
tes,58177009111
Divalproex (DELayed Release),00074568216
Oxytocin,70092106807
Scopolamine Patch,10019055304
Ampicillin,55150011420
Lansoprazole Oral Disintegrating Tab *NF*,64764054411
PhosLo,00054008826
Depakote,00245018101
LevSIN/SL,76439030910
Sebex,00536196297
maalo,0
QUEtiapine Fumarate,60687034901
Saline Mist,00904386575
Verapami,51079086920
Zonisamide,00185019301
Bupivacaine,00409116202
ergo,00091415060
QUEtiapine Fumarate,00904663961
Metoprolol Succinate,00904632261
heparin,64253033335
Albumin 25% (25g /100mL),00944049302
Carbamazepine Chewable Tabs,51079087020
Morphine Sulfate,00641607325
Mul,50383068304
Clonidine Patch,00597003234
Dextrose 5%,00338001701
Lidocaine 1%/Epinephrine 1:100000,63323048227
5% Dextrose,00338001731
BuPROP,51079094320
Naloxone,00548146900
Syringe (SW),0
MagOx,00165002241
Metoprolol XL (Toprol XL),00186109239
Gamunex,13533064520
Ascorbic Acid (Liquid),37205014472
Methotrexate Sodium,16729027730
Dermagran Ointment,25382012634
Atorvastatin,68084009901
hydroCHLOROthiazide,00603385521
norgestrel-ethinyl estradiol,52959046004
Met,55390003110
Bumetanide,51079089320
Gentamicin 0.3% Ophth. Ointment,17478028435
Albumin ,68516521402
Nicotine Patch,00067512414
Ciprofloxacin IV,00703095603
Testoste,52544007660
progest,17478076610
Lithium Carbonate (Oral Soln),00054352763
Clotrim Antifungal,00904782231
Ketoconazole 2% ,50458022115
Guaifenesin-Dextromethorphan,61787006204
Doxazosin,00904552261
darbepoetin alfa in polysorbat,55513002304
CoEnzyme Q10 (300 mg),14654084868
Thiopental Sodium,00074332901
BENDAmustine,63459039602
Dihydroergotamine Mesylate,00574085005
Hydrocortisone,00603390121
Muro 128,24208027715
Tylenol 8 Hour,00182844789
Triamterene-Hydrochlorothiazide (37.5/25),49999006600
Verapamil,00172428510
Multivitamins,00904549213
Cinacalcet,55513007330
Ondan,51079052420
OLANZapine,00002411633
benazepril,51079014520
HYDROmorphone ,00074233411
Propofol,63323026965
Potassium Chloride Replacement (Oncology),58177000111
Amoxicillin,00029607531
Combi,00597002402
ILOperidone,00078059620
Carbidopa-Levodopa,00091334201
Divalproex ,51079076708
Phenelzine Sulfate,00071035024
Cosyntropin ,0
pred,61314063705
Itacitinib,0
rifAXIMin,65649030303
Metoprolol Succinate XL,68084030401
Ephedrin,17478041510
DOCEtaxel (TaxoTERE),66758005003
Factor IX Complex,68516320003
ProAir HFA,59310057920
Psyllium Powder,37000002304
Tri-Sprintec (28),00555901858
simvastatin,51079045620
Lidocaine 1% PF,00409471332
ana,51079032301
Sodium Thiosulfate,00517501901
nabumetone,00029485121
LeVETir,50474059540
Etomidate,00409669501
Tobramycin 0.3% Ophth Ointment,00065064435
Ropivacaine 0.2%,61553025409
ertapenem,00006384371
Sacubitril-Valsartan (24mg-26mg),00078065935
Ibuprofen,50580060150
Iso-Osmotic Dextrose,0
PHENobarbital,63739020110
Citalopram,54838054070
Phenylephrine,10019016301
leucovorin calcium,00054449625
Nimodipine 60mg,57664013560
CeFAZolin,60505614205
Ampicillin Sodium,00781340795
Fentanyl PCA,00074909461
*NF* Warfarin,00590032435
INV-Dalteparin,00069022801
Vivelle,00078034445
Idarubicin HCl,00013258691
insulin lispro,00002751001
Rifampin,67457044560
Interferon Alfa-2B,00085053901
Alteplas,50242004413
sodium ch,00517293025
Albumin 25% (12.5g / 50mL),00944049101
Polymyxin B -Trimethoprim Ophth Soln,24208031510
Ciprofloxacin Oral Desensitization,50419077701
Metoprolol ,51079025520
LevETIRAcetam,50474059866
Nasonex (mometasone),00009770901
HYDROmorphone PCA,00074241421
Lidocaine,00409793124
Isosorbid,00904215461
Amoxicillin-Clavulanic Acid,49884029812
Famciclovir,00078036815
Tetanus Immune Globulin,54569439800
Albumin 5% ),00944049505
Levothyroxine Sodium,00378180577
Dextroamphetamine,64720013010
Humalog,00002751001
Mirapex,00555061214
Indapamide,59746011209
RISperidone Long Acting Injection,50458030811
Factor 9 recombinant,58394063503
Artificial Tears,00536108494
Buprenorphine-Naloxone (2mg-0.5mg),12496120203
Fluoxetine,00093435693
Clopidogril 75mg,63653117103
Levalbuterol Neb,00093414656
Ledipasvir/Sofosbuvir *NF*,0
LeVETiracetam,00904605261
Alb,00944049505
Mevacor,00006073128
Tigecycline,63323096010
CycloSPORINE (Sandimmune),00078011022
Ciprofloxacin HCl,68084007001
Acetylcysteine (IV),00574080530
Epinephrin,00409492134
leflunomide,23155004303
RiTONAvir,00074663322
Gastrografin,00019481604
Ondanse,68462015713
Pancrease MT 16,00045034360
Aspirin EC,63739027201
Natalizumab,59075073015
Envarsus XR,68992304003
Hydrochlorothiazide,16729018401
Atropine Sulfate,10019025112
Aminocaproic Acid,49411005208
PrimiDONE,66490069110
Mesalamin,00023585318
Razadyne,50458039660
Morphine Sulfate,00409176230
venetoclax,00074056111
Ranolazine ER,68180035407
fluconazole,00172541310
eucerin,54162060002
Zyflo CR,10122090212
Penicillin G Potassium,00338102341
Lanthanum,54092025390
Fluoxetine,00777512058
Rosuvastatin Calcium,00904660461
Imdur,58177022211
RISperidone,00904597661
Isoproterenol,70121160507
potassium chlo,58177000111
mirtazapine,51079008620
Esomep,00093645056
Hespan,00703507937
Bisacodyl (Rectal),00574705050
Domeboro,51224016212
Pralatrexate,48818000102
Catapres-TTS-3,00378087399
insulin,00169183311
Prevnar 13 (PF),00005197101
diphenhydrAMINE HCl,00904517416
Cefoxitin,60505076005
albuterol,00173068224
Levofloxacin,25021013281
Phenobarbital,51079009520
Diltia,00258368890
glipiZIDE,00172364910
PAZOPanib,00173080409
Mineral Oil,00121046230
Neomycin Sulfate,50383056510
quet,00310027539
LeVETiracetam Solution,50474059540
Trintellix,64764075030
Venlafaxine,00008083303
exe,00054008013
Cimetidine,51079080820
Activated Charcoal,00574012174
QUEtiapine Fumarate,00904663861
Albumin 25% ,00944049302
Fentanyl,00781710955
fentaNYL,00781711355
Heparin Flush,64253033335
potas,00456066270
Haloperidol,68382008001
Testosterone 4 mg Patch,00023599230
Artificial Tears GEL 1%,00023050601
imod,00093031101
Oxcarbazepine,00078035752
Lidocaine Jelly,25021067376
Iron Dextran Complex,00517013410
levo,00074434113
Haloperidol,51079073420
Mysoline,68084020301
simet,37205011910
*NF* Rilpivirine,59676027801
lidocain,00409471332
OSELTAMivir,00004082205
Lorazepam 2mg syringa,00409198530
Clindamycin,00009311602
Atgam,00009722402
Sertraline,60687024201
Abacavir Sulfate,00173066400
multi,00904053061
Heparin Dwell (1000 Units/mL),25021040030
buPROPion HCl,00591083960
Estraderm,00083232062
Mesalam,00430075327
DACTINomycin,55292081155
Amphetamine-Dextroamphetamine,00555076202
Polyvinyl,11980002515
Lidocaine 2%,00186024044
Ondanset,62756035664
Meropenem,00310032130
Polyethylene Glycol,00904642281
micon,51672200102
cyclosporine modified,00078024615
Sumatriptan Succinate,65862014636
Gastrocrom,00037067896
ipra,00597008717
Cyclopentolate 1%,61314039601
Betamethasone Dipro 0.05% Cream,51672127406
Enbrel,58406042534
MetFORMIN,00904579461
NexIUM Packet,00186502228
Cimzia,50474070062
Clindamyci,51079059820
atorvastatin 40 mg,54868422900
Cortroysin,0
Ciprofloxacin IV,00409477750
Ibuprofen,68084065801
Pregabalin Oral Solution,00071101441
Menthol-Cetylpyridinium (Cepacol),49452521001
Sulfacetamide-Prednisolone Ophth. Oint.,00023031304
Albuterol,00173068254
urea 20%  cream,58980061030
Mouth Care Oral Rinse,51927174300
Memantine,21695016930
Atorvastatin,00071015892
valACYclovir,00173093356
HYDROmorphone,17478054001
OBINUtuzumab,50242007001
Furosemide,00054829816
Thiotepa,55390003010
tedizolid,67919004102
MetroNIDAZOLE,00409781124
Quetiapine Fumarate (Serroquel),00904627761
LamoTRIgine,51079049920
Wellbutrin,51079094420
Multi,00904053061
testosterone propionate,00051845030
ARIPiprazole,13811068130
Carbatrol,00083006130
Bethanechol,50111032301
Sodium Chloride 3%,00338005403
Methimazole,58597802206
PHENObarbital Alcohol Withdrawal Dose Taper (Days 2-7),00641047725
BENDAmustine,63459034804
Mupirocin ,00029152722
Isosorbide Mononi,62175011937
Rhinocort Aqua,54868441101
Bumetanide,51079089120
Aspirin Desensitization (Angioedema),68016001129
Voriconazole,59762093002
INV-Defibrotide,68727080001
MetRONIDAZOLE (FLagyl),68084096601
Coenzyme Q10,10939003722
Zyflo,10122090212
Phosphorus,68084076425
Oxandrolone,00185027101
abilify,21695000230
Clindamycin Suspension,00009076004
Insulin,00002831501
CeftriaXONE,00338500341
Fentanyl Patch,52959058605
Etoposide,63323010425
Dexrazoxane,55390006002
FLUCONAZOLE,57237000511
Nitrofurantoin (Macrodantin),00149071001
Vancomycin,00338355248
Sulfameth/Trimethoprim,00472128416
Abacavir Oral Solution,00173066101
Nadolol,51079081420
Lactulose,45963043963
Ropivacaine 0.2%,00186085981
Cyclophosphamide,00015054841
Bupivacaine 0.1%,00409116202
Fluconazole,55111014330
Erythromycin ,24338013402
Tenofovir Disoproxil (Viread) Powder,61958040301
Adderall ,00115132801
Vesicare,51248015001
Duloxetine,68084068301
potassium ch,58177020211
Makena,64011024702
Imiglucerase,58468466301
Epinephrine 1:1000,42023012225
Enoxaparin,63323056884
edoxaban,0
0.9% Sodium Chloride,00338004501
penicillin V potassium,00093117201
Tetanus-DiphTox-Acellular Pertuss (Tdap),58160084252
brimonidine 0\,2%,61314014405
Fluoxetine,00904578561
Iso-Osmotic Sodium Chloride,0
Temazep,51079041820
Isosorbide Mononitra,68084059101
Activated Charcoal-Sorbitol,00574012008
Nicoti,00536407701
Montelukast,00904652961
Metoprolol,58177029311
Bupivacaine 0.25%,63323046437
Oxaliplatin Desensitization,00024059120
Opsumit,58394000401
Flonase Allergy Relief,60505082901
Bacitracin-Polymyxin,24208055555
Carbidopa-Levodopa (25-100),51079075620
5% Dextrose,00338001704
liragl,00169406012
BuPROPion,00173094755
Genvoya,61958190101
Potassium Chloride,00603155404
RisperiDONE Long Acting Injection,50458030811
Omeprazole,00904568461
Pertuzumab,50242014501
Gabapentin,00904666761
HYDROmorphone Oral Soln,42858030416
Erythrom,00074636902
Chloroprocaine 3% MPF,63323047820
Cyclosporine Modified,00078027422
Valium,51079028520
PrednisoLONE Acetate 1% Ophth. Susp.,11980018005
Nicotine Patch,00536110688
Amitriptyline HCl,51079013120
Actigall,60687010001
isos,58177023811
epi,49502050001
Morphine ,66479056012
Fexofenadine,45802042578
PHENOb,00641047625
PaXIL CR,00029320713
Colazal,65649010102
Oxytocin,63323001201
nysta,00472500360
Clindamycin,00409405201
PrismaSol  (B32 K0),24571010305
DiCYCLOmine,51079011820
Pegfilgrastim,55513019001
permethrin,00023791560
sod,00409662502
raltegravir,00006022761
Potassium Chl,58177020211
olmesartan,65597010330
Cimetidine,00172717149
GammaGARD Liquid,00944270007
Leuprolide Acetate,00300366301
Milk Of Magnesia,66689036430
Albumin 5% (12.5g / 250mL),00944049101
Ferrous Gluconate,00904213761
Nystatin-Triamcinolone Ointment,51672127202
Anti-Thymocyte Globulin (Rabbit),58468008001
Gabapentin (Neurontin Brand),00172438210
Hydromorphone ,42858030125
Torsemide,50111091701
Atorvastatin 40mg,51079045620
sodium bicarb,00409662502
topiramate,00045064165
Divalproex (DELayed Release),00832712401
Alum Potassium,17317001801
Fentanyl,10019003867
Heparin,00641040025
Darunavir 300mg tablet,54868563100
Acetylcysteine 20%,00517760425
Captop,51079086320
Hydrocortisone Oint 1%,00168002031
Ziprasidone,00049396041
Fluorouracil,66758004401
Album,00944049101
Nystatin Oral Suspension,00472132002
Dexamethasone,63323016505
Ethacrynate Sodium,68682001227
Clobetasol Propionate 0.05% Gel,45802092594
LamoTRIgine,63739067010
Alprazolam,51079078820
Lidocaine 1%/Epinephrine 1:100\,000,63323048227
anakinra,0
Lorazepam,63739050010
quetiapine,00310027539
Fluocinolone Acetonide 0.01% Solution,00168005960
Dilaudid,42858030416
Clarithromycin,00781196160
PHENob,00603150858
Kay,46287000660
Syringe (0.9% Sodium Chloride,0
CILOSTAZOL,66993000860
Fluorescein,00065009265
Pred,00054372144
Vancomycin ,63323022110
Paroxetine,68084004401
Heparin Flush CRRT (5000 Units/mL),00641040025
Risperdal,50458030503
metoprolol,68084030301
leflunomide,54868231900
Darunavir,59676056501
acet,00143178701
Budesonide,00093681673
Mycophenolate Mofetil Suspension,00004026129
Albuterol ,00173068220
Tacro,00781210301
Prilosec,51079000720
Eplerenone,59762172001
Gamunex/GammaKED 10%,13533080024
insulin,00088222033
Hydroxypropyl Methylcellulose,00536623772
nadolol,51079081220
rivastigmine tartrate,00078033931
Nortriptyline,54569384900
PredniSONE (Self Med),00143147501
Divalproex (EXTended Release),51079076708
INV-Nimodipine,57664013565
Mesna,00703480501
Triamcinolone ,51672126705
Dexamethasone,00054817525
Filgrastim-sndz,61314030410
GlycoLax,51991045757
GELCLAIR,24477001015
Emtricitabine-Tenofovir alafen (200mg-25mg) *DESCOVY*,61958200201
Albumin 5,00944049101
Mebaral,51991041702
OxycoDONE Liquid,00904644461
Azithromycin,00781149731
Bupropion,00173017855
Interferon Alfa-2B,00085057102
Aminocaproic ,61748004416
Procainamide,00409190301
ARIPiprazole,59148001871
Dexam,00054818125
albu,00173068254
Prochlorperazine,55390007710
*NF* Rufinamide,62856058230
Spironolactone,68084020601
Exelon,00078033931
Vitamin B Complex w/C,54629012691
Cyproheptadine,00472075516
nia,00536407701
Guanfacine,00031890163
Potassium Acetate,00409818301
Dorzolamide 2% Ophth. Soln.,50383023210
Sodium Tetradecyl Sulfate 3%,65974016302
carbidopa-levodopa,62756018888
tacrolimus,00781210401
oxyCODONE,68084035401
Amoxicillin-Clavulanic Acid,00029608031
cetirizin,51079059720
HYDROmorphone (Dilaudid),42858030225
LeVET,50474059540
*NF* Pregabalin,00071101441
Dextrose 10% in Water (D10W),00338002304
Ramipril,68084029421
Gaviscon Extra Strength,00088117547
glimepiride,00039022110
gaba,00071201223
Ocean Nasal,00256015201
Amoxicillin-Clavulanic Acid,60432006575
PNEUMOcoccal 13-valent conjugate vaccine,00005197102
Heparin (Porcine),63323054011
HydrOXYzine,51079053120
enoxaparin,00075062280
Albuterol Inhaler (ProAir),59310057920
Vancomycin,00409651001
Phytonadione,68682017030
Quetiapine Fumarate,00310028239
Palivizumab,60574411301
Oxaliplatin Desensitization,47781059229
Enoxaparin Sodium,63323056890
Dextroamphetamine,00555097102
Niaspan,00904420260
Nitroglycerin Patch,00378910293
Aspirin EC,00904628889
timolo,61314022605
Firvanq,65628020810
Morphine Sulfate (Concentrated Oral Solution) 20 mg/mL,00054051744
diltiaz,00456261490
5% Dextrose (EXCEL BAG),00264751020
Aripiprazole,59148000735
Triamcinolone Acetonide 0.025% Ointment,00168000580
INV-Niacinamide,00536406801
Gabapentin,00904666561
Lithium Carbonate,60505250403
azaCITIDine (IV),00781325394
Albumin,44206031050
Propranolol,00115166101
Linezolid Antibiotic Lock,00009514001
5% Dextrose,00338001702
Trisodium Citrate 0.4% Replacement Soln,0
Clindamycin,00409405101
CarBAMazepine Chewable Tabs,51079087020
Triazolam,52959040250
D5W,00338001710
